province,clusters_yield,allocated_sqkm,province_land_sqkm,province_cluster_share,regime,production_t,harvested_area_ha,allocated_production_t,allocated_harvested_area_ha
Apayao,3,1783.826376788975,3434.5457613697586,0.519377670506726,rainfed,21131.22,8206.0,10975.08381856514,4262.013164178194
Apayao,4,856.1529254760959,3434.5457613697586,0.24927690150637175,irrigated,75738.54,17805.46,18879.868575816396,4438.489898695641
Apayao,4,856.1529254760959,3434.5457613697586,0.24927690150637175,rainfed,21131.22,8206.0,5267.525046649473,2045.5662537612866
Apayao,6,59.041837452861444,3434.5457613697586,0.01719058110010871,irrigated,75738.54,17805.46,1301.9895142738274,306.0862041547416
Apayao,6,59.041837452861444,3434.5457613697586,0.01719058110010871,rainfed,21131.22,8206.0,363.2579511542392,141.06590850749208
Aurora,2,1309.5607208045283,2385.6593001383344,0.5489303190646679,irrigated,86435.0,22106.12,47446.79212835457,12134.719504881836
Aurora,2,1309.5607208045283,2385.6593001383344,0.5489303190646679,rainfed,3994.0,1092.0,2192.4276943442837,599.4319084186174
Aurora,3,5.287106960661459,2385.6593001383344,0.0022162036969633017,irrigated,86435.0,22106.12,191.557566547023,48.99166486951438
Aurora,3,5.287106960661459,2385.6593001383344,0.0022162036969633017,rainfed,3994.0,1092.0,8.851517565671427,2.4200944370839252
Aurora,4,490.22282196144516,2385.6593001383344,0.20548735602481846,irrigated,86435.0,22106.12,17761.299618005185,4542.52815076736
Aurora,4,490.22282196144516,2385.6593001383344,0.20548735602481846,rainfed,3994.0,1092.0,820.716499963125,224.39219277910175
Aurora,8,580.5886504116993,2385.6593001383344,0.24336612121355022,irrigated,86435.0,22106.12,21035.350687093214,5379.880679481286
Aurora,8,580.5886504116993,2385.6593001383344,0.24336612121355022,rainfed,3994.0,1092.0,972.0042881269196,265.75580436519687
Basilan,3,1809.3624161374762,1809.3624161374762,1.0,irrigated,220.18,98.0,220.18,98.0
Basilan,3,1809.3624161374762,1809.3624161374762,1.0,rainfed,53.32,39.0,53.32,39.0
Bataan,7,1012.4376890906533,1012.4376890906533,1.0,irrigated,124065.0,27931.07,124065.0,27931.07
Bataan,7,1012.4376890906533,1012.4376890906533,1.0,rainfed,1078.0,333.0,1078.0,333.0
Batanes,1,49.93741436247347,118.15673959320787,0.4226370373319278,irrigated,0.0,0.0,0.0,0.0
Batanes,1,49.93741436247347,118.15673959320787,0.4226370373319278,rainfed,84.0,79.0,35.501511135881934,33.3883259492223
Batanes,4,68.21932523073441,118.15673959320787,0.5773629626680723,irrigated,0.0,0.0,0.0,0.0
Batanes,4,68.21932523073441,118.15673959320787,0.5773629626680723,rainfed,84.0,79.0,48.49848886411807,45.61167405077771
Batangas,3,1588.564235216416,2571.949525356996,0.6176498487060772,irrigated,24435.0,7792.03,15092.274053132996,4812.746150613215
Batangas,3,1588.564235216416,2571.949525356996,0.6176498487060772,rainfed,8566.5,4989.12,5291.09742894061,3081.5292131764636
Batangas,5,573.2728898247387,2571.949525356996,0.22289430028575943,irrigated,24435.0,7792.03,5446.4222274825315,1736.799074655646
Batangas,5,573.2728898247387,2571.949525356996,0.22289430028575943,rainfed,8566.5,4989.12,1909.424023397958,1112.0464114416882
Batangas,8,410.1124003158414,2571.949525356996,0.15945585100816326,irrigated,24435.0,7792.03,3896.3037193844693,1242.4847747311383
Batangas,8,410.1124003158414,2571.949525356996,0.15945585100816326,rainfed,8566.5,4989.12,1365.9785476614306,795.5443753818474
Benguet,1,793.5852738753994,2316.1883935803908,0.3426255291127964,irrigated,18978.29,5903.0,6502.446652906094,2022.5184983528372
Benguet,1,793.5852738753994,2316.1883935803908,0.3426255291127964,rainfed,2729.0,1221.0,935.0250689488214,418.34577104672445
Benguet,2,968.7934245026261,2316.1883935803908,0.418270563477375,irrigated,18978.29,5903.0,7938.060052137032,2469.0511362069446
Benguet,2,968.7934245026261,2316.1883935803908,0.418270563477375,rainfed,2729.0,1221.0,1141.4603677297564,510.7083580058749
Benguet,6,509.13183967167765,2316.1883935803908,0.21981451987359965,irrigated,18978.29,5903.0,4171.703704371937,1297.5651108138588
