province,clusters_yield,allocated_sqkm,province_land_sqkm,province_cluster_share,regime,production_t,harvested_area_ha,allocated_production_t,allocated_harvested_area_ha
Compostela Valley,1,392.41017659129056,3709.182104550544,0.10579426017122996,rainfed,20239.1,5791.0,2141.18061103154,612.6545606515928
Compostela Valley,2,545.9754159845348,3709.182104550544,0.147195635208828,irrigated,104694.19,23650.0,15410.527799723728,3481.1767726887824
Compostela Valley,2,545.9754159845348,3709.182104550544,0.147195635208828,rainfed,20239.1,5791.0,2979.1071805549905,852.4099234943229
Compostela Valley,3,1289.454740785282,3709.182104550544,0.3476385640929674,irrigated,104694.19,23650.0,36395.73788047631,8221.652040798679
Compostela Valley,3,1289.454740785282,3709.182104550544,0.3476385640929674,rainfed,20239.1,5791.0,7035.891662533976,2013.1749246623742
Compostela Valley,4,694.6889004618496,3709.182104550544,0.18728897122888166,irrigated,104694.19,23650.0,19608.06713874107,4429.384169563052
Compostela Valley,4,694.6889004618496,3709.182104550544,0.18728897122888166,rainfed,20239.1,5791.0,3790.5602175984586,1084.5904323864538
Compostela Valley,8,786.6528707275874,3709.182104550544,0.21208256929809305,irrigated,104694.19,23650.0,22203.81280578272,5015.752763899901
Compostela Valley,8,786.6528707275874,3709.182104550544,0.21208256929809305,rainfed,20239.1,5791.0,4292.3603282810345,1228.1701588052567
Davao Oriental,1,364.49694873702475,4163.18640849249,0.08755239688366749,irrigated,60782.76,12297.0,5321.676327204709,1076.631824478459
Davao Oriental,1,364.49694873702475,4163.18640849249,0.08755239688366749,rainfed,10583.95,3327.0,926.6501909968927,291.28682443196175
Davao Oriental,2,1189.7052057920205,4163.18640849249,0.285767940480671,irrigated,60782.76,12297.0,17369.76414193091,3514.0883640908114
Davao Oriental,2,1189.7052057920205,4163.18640849249,0.285767940480671,rainfed,10583.95,3327.0,3024.553593650398,950.7499379791924
Davao Oriental,3,670.4754293011995,4163.18640849249,0.16104862081925894,irrigated,60782.76,12297.0,9788.97966758802,1980.4148902144273
Davao Oriental,3,670.4754293011995,4163.18640849249,0.16104862081925894,rainfed,10583.95,3327.0,1704.5305503199959,535.8087614656745
Davao Oriental,4,977.1105307827977,4163.18640849249,0.23470256551318205,irrigated,60782.76,12297.0,14265.869710972021,2886.1374481156
Davao Oriental,4,977.1105307827977,4163.18640849249,0.23470256551318205,rainfed,10583.95,3327.0,2484.0802182632433,780.8554354623567
Davao Oriental,6,810.3027042868123,4163.18640849249,0.19463522042488288,irrigated,60782.76,12297.0,11830.465890632755,2393.429305564785
Davao Oriental,6,810.3027042868123,4163.18640849249,0.19463522042488288,rainfed,10583.95,3327.0,2060.009441215939,647.5513783535853
Davao Oriental,8,151.0955895926354,4163.18640849249,0.036293255878337635,irrigated,60782.76,12297.0,2206.004261671586,446.2981675359179
Davao Oriental,8,151.0955895926354,4163.18640849249,0.036293255878337635,rainfed,10583.95,3327.0,384.1260055535316,120.74766230722932
Davao del Norte,2,337.07233938103286,3106.0019590237985,0.10852289980105907,irrigated,120853.0,26502.0,13115.318009657392,2876.0738905276676
Davao del Norte,2,337.07233938103286,3106.0019590237985,0.10852289980105907,rainfed,8884.38,2569.0,964.1586805345331,278.79532958892077
Davao del Norte,3,2275.6387867645767,3106.0019590237985,0.7326585162489077,irrigated,120853.0,26502.0,88543.97966422923,19416.915997628552
Davao del Norte,3,2275.6387867645767,3106.0019590237985,0.7326585162489077,rainfed,8884.38,2569.0,6509.21666859147,1882.1997282434438
Davao del Norte,4,478.6547917152098,3106.0019590237985,0.15410640367582018,irrigated,120853.0,26502.0,18624.221203433895,4084.1279102165863
Davao del Norte,4,478.6547917152098,3106.0019590237985,0.15410640367582018,rainfed,8884.38,2569.0,1369.1398506893831,395.89935104318204
Davao del Norte,8,14.636041162979025,3106.0019590237985,0.004712180274213047,irrigated,120853.0,26502.0,569.4811226794694,124.88220162719418
Davao del Norte,8,14.636041162979025,3106.0019590237985,0.004712180274213047,rainfed,8884.38,2569.0,41.86480018461291,12.105591124453317
Davao del Sur,1,312.8309434917741,4990.569414351459,0.06268441885452214,irrigated,135987.08000000002,26733.7,8524.271081523411,1675.7864483311387
Davao del Sur,1,312.8309434917741,4990.569414351459,0.06268441885452214,rainfed,4739.24,2049.0,297.0765052121055,128.44037423291587
Davao del Sur,2,404.6515106917065,4990.569414351459,0.08108323461608284,irrigated,135987.08000000002,26733.7,11026.272312396028,2167.654869255974
Davao del Sur,2,404.6515106917065,4990.569414351459,0.08108323461608284,rainfed,4739.24,2049.0,384.27290882192443,166.13954772835373
Davao del Sur,3,1414.620009370587,4990.569414351459,0.2834586380669392,irrigated,135987.08000000002,26733.7,38546.712491499915,7577.898192490133
Davao del Sur,3,1414.620009370587,4990.569414351459,0.2834586380669392,rainfed,4739.24,2049.0,1343.378515872361,580.8067493991584
Davao del Sur,4,963.9451819788064,4990.569414351459,0.19315334623074754,irrigated,135987.08000000002,26733.7,26266.359546148367,5163.703612128936
Davao del Sur,4,963.9451819788064,4990.569414351459,0.19315334623074754,rainfed,4739.24,2049.0,915.4000645906079,395.7712064268017
Davao del Sur,6,1761.899550561742,4990.569414351459,0.3530457958354451,irrigated,135987.08000000002,26733.7,48009.66688193835,9438.220392126039
Davao del Sur,6,1761.899550561742,4990.569414351459,0.3530457958354451,rainfed,4739.24,2049.0,1673.1687574551747,723.390835666827
Davao del Sur,7,132.6222182568437,4990.569414351459,0.026574566396263297,irrigated,135987.08000000002,26733.7,3613.797686493969,710.4364856677842
Davao del Sur,7,132.6222182568437,4990.569414351459,0.026574566396263297,rainfed,4739.24,2049.0,125.94324804782687,54.451286545943496
Dinagat Islands,8,468.7828643519084,468.7828643519084,1.0,irrigated,4582.0,1880.0,4582.0,1880.0
Dinagat Islands,8,468.7828643519084,468.7828643519084,1.0,rainfed,2290.9,1003.0,2290.9,1003.0
Eastern Samar,1,68.56301341934153,3555.5857968302134,0.019283183513801046,irrigated,17161.3,4833.0,330.92449723539386,93.19562592220045
Eastern Samar,1,68.56301341934153,3555.5857968302134,0.019283183513801046,rainfed,33035.2,14091.0,637.0238240151202,271.71933889297054
Eastern Samar,8,3487.022783410872,3555.5857968302134,0.9807168164861989,irrigated,17161.3,4833.0,16830.375502764604,4739.804374077799
Eastern Samar,8,3487.022783410872,3555.5857968302134,0.9807168164861989,rainfed,33035.2,14091.0,32398.176175984874,13819.280661107028
Guimaras,3,1133.9015497900346,1133.9015497900346,1.0,irrigated,16447.0,4593.0,16447.0,4593.0
Guimaras,3,1133.9015497900346,1133.9015497900346,1.0,rainfed,48544.0,16817.0,48544.0,16817.0
Ifugao,1,549.4517831147662,2196.862123122654,0.25010754081087566,irrigated,47441.09,14899.82,11865.374353287425,3726.5573387247014
Ifugao,1,549.4517831147662,2196.862123122654,0.25010754081087566,rainfed,1971.52,533.0,493.0920188594576,133.30731925219672
Ifugao,2,360.7993918111377,2196.862123122654,0.16423397172431187,irrigated,47441.09,14899.82,7791.438633630534,2447.056616577336
Ifugao,2,360.7993918111377,2196.862123122654,0.16423397172431187,rainfed,1971.52,533.0,323.79055993391535,87.53670692905823
