population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,16,Philippines,3,Both,26,70+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,2257.101497137055,3073.2084254651754,1614.8160825865061
1,All Population,1,Deaths,16,Philippines,3,Both,26,70+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.1737431952898597,0.2101368141163925,0.1419656900456227
1,All Population,1,Deaths,16,Philippines,3,Both,26,70+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,58.28667329728506,79.36155981322075,41.70049843142082
1,All Population,1,Deaths,16,Philippines,3,Both,27,Age-standardized,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.17384145750358573,0.2104141448109119,0.14228092669969214
1,All Population,1,Deaths,16,Philippines,3,Both,27,Age-standardized,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,5.255045961162828,7.191769785784043,3.7639520188350364
1,All Population,1,Deaths,16,Philippines,3,Both,30,80-84 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,497.3539513024493,695.929556446892,339.84884787327434
1,All Population,1,Deaths,16,Philippines,3,Both,30,80-84 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.17230643468451864,0.2083690701780435,0.14021717374330628
1,All Population,1,Deaths,16,Philippines,3,Both,30,80-84 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,83.65848736932713,117.06032264444381,57.16500386260563
1,All Population,1,Deaths,16,Philippines,3,Both,31,85-89 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,331.5905127030168,504.49787231496094,227.9914426793065
1,All Population,1,Deaths,16,Philippines,3,Both,31,85-89 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.17297504815195955,0.20990512160325442,0.13952886542214255
1,All Population,1,Deaths,16,Philippines,3,Both,31,85-89 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,117.84113728094269,179.28921592113446,81.02394328668596
1,All Population,1,Deaths,16,Philippines,3,Both,32,90-94 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,134.28627977031124,209.08332419048742,86.70198180942445
1,All Population,1,Deaths,16,Philippines,3,Both,32,90-94 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.1695475776076826,0.20655165725035113,0.13690944833392885
1,All Population,1,Deaths,16,Philippines,3,Both,32,90-94 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,143.88379774309118,224.02663012731938,92.89862252443187
1,All Population,1,Deaths,16,Philippines,3,Both,37,20+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,3653.5976760005997,4906.479912801007,2621.3786746557425
1,All Population,1,Deaths,16,Philippines,3,Both,37,20+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.17457594610378643,0.21087937551635155,0.1431556317921067
1,All Population,1,Deaths,16,Philippines,3,Both,37,20+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,5.198804434546764,6.981564964374115,3.7300316802654843
1,All Population,1,Deaths,16,Philippines,3,Both,41,50-74 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,1878.6298959288715,2557.561567423143,1355.0393222764537
1,All Population,1,Deaths,16,Philippines,3,Both,41,50-74 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.17611495749318712,0.21205815876920892,0.14493399983574162
1,All Population,1,Deaths,16,Philippines,3,Both,41,50-74 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,10.407301429827921,14.168471509581263,7.506695548048887
1,All Population,1,Deaths,16,Philippines,3,Both,157,25+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,3653.5976760005997,4906.479912801007,2621.3786746557425
1,All Population,1,Deaths,16,Philippines,3,Both,157,25+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.17501182217089023,0.21134149103296995,0.1435109199969664
1,All Population,1,Deaths,16,Philippines,3,Both,157,25+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,6.117142875285756,8.21481764083496,4.388919992047245
1,All Population,1,Deaths,16,Philippines,3,Both,160,85+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,496.0379607073905,732.4713668229854,339.946408904186
1,All Population,1,Deaths,16,Philippines,3,Both,160,85+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.1715780067554882,0.20870778814172192,0.13859315660044352
1,All Population,1,Deaths,16,Philippines,3,Both,160,85+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,126.53579692379992,186.84829683727568,86.71793928983108
1,All Population,1,Deaths,16,Philippines,3,Both,169,10-54 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,300.51921434942585,418.09651863940314,200.88094245657106
1,All Population,1,Deaths,16,Philippines,3,Both,169,10-54 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.17149312952138032,0.20620017484558203,0.14091533398686898
1,All Population,1,Deaths,16,Philippines,3,Both,169,10-54 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,0.38305003519796166,0.532917292918095,0.2560483603192154
1,All Population,1,Deaths,16,Philippines,3,Both,197,15-39 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,60.10180885752204,90.79547029325765,38.853419038153845
1,All Population,1,Deaths,16,Philippines,3,Both,197,15-39 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.14469771139324814,0.17590507850461615,0.11706124826416547
1,All Population,1,Deaths,16,Philippines,3,Both,197,15-39 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,0.12469488071834908,0.1883758667700596,0.08061026023272956
1,All Population,1,Deaths,16,Philippines,3,Both,228,55+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,3353.078461651173,4508.451281701987,2416.4696201673514
1,All Population,1,Deaths,16,Philippines,3,Both,228,55+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.1745797617789847,0.2109289991083721,0.14306494981490073
1,All Population,1,Deaths,16,Philippines,3,Both,228,55+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,22.68900638274716,30.506974732845517,16.351330654127516
1,All Population,1,Deaths,16,Philippines,3,Both,231,60+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,3153.3730900783276,4246.40088156873,2270.2929882085227
1,All Population,1,Deaths,16,Philippines,3,Both,231,60+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.17437512600651886,0.21080129200888037,0.14284464585627463
1,All Population,1,Deaths,16,Philippines,3,Both,231,60+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,30.50036452326372,41.072455145654075,21.95895053865942
1,All Population,1,Deaths,16,Philippines,3,Both,232,65-74 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,1187.2531541112219,1607.831378033532,861.2123118488751
1,All Population,1,Deaths,16,Philippines,3,Both,232,65-74 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.17526202081364584,0.2111165456783931,0.14400899362824612
1,All Population,1,Deaths,16,Philippines,3,Both,232,65-74 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,25.86141050576239,35.02267999658269,18.759406999439268
1,All Population,1,Deaths,16,Philippines,3,Both,234,75+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,1602.2005266665606,2197.4092531793754,1136.4951935247982
1,All Population,1,Deaths,16,Philippines,3,Both,234,75+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.17316795917755262,0.21002201434040502,0.14129424192575352
1,All Population,1,Deaths,16,Philippines,3,Both,234,75+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,78.36479478721945,107.47688714546013,55.58680772782369
1,All Population,1,Deaths,16,Philippines,3,Both,235,95+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,30.16116823406258,49.261591806000176,18.90940885312066
1,All Population,1,Deaths,16,Philippines,3,Both,235,95+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.16572018101775562,0.20187048719194037,0.13308433239651687
